Bellatrix.jpg : cabell moreno , ulleres no , sexe femella , especie huma
Crookshanks.jpg : cabell pelroig , ulleres no , sexe mascle , especie nohuma
Dobby.jpg : cabell calb , ulleres no , sexe mascle , especie nohuma
Draco.jpg : cabell ros , ulleres no , sexe mascle , especie huma
Fang.jpg : cabell moreno , ulleres no , sexe mascle , especie nohuma
Ginny.jpg : cabell pelroig , ulleres no , sexe femella , especie huma
Gringotts.jpeg : cabell calb , ulleres si , sexe mascle , especie nohuma
Hagrid.png : cabell castany , ulleres no , sexe mascle , especie huma
Harry.jpg : cabell moreno , ulleres si , sexe mascle , especie huma
Hermione.jpg : cabell castany , ulleres no , sexe femella , especie huma
Luna.jpg : cabell ros , ulleres no , sexe femella , especie huma
Mcgonagall.jpg : cabell castany , ulleres si , sexe femella , especie huma
Ron.jpg : cabell pelroig , ulleres no , sexe mascle , especie huma
Skeeter.jpg : cabell ros , ulleres si , sexe femella , especie huma
Snape.jpg : cabell moreno , ulleres no , sexe mascle , especie huma
Voldemort.jpg : cabell calb , ulleres no , sexe mascle , especie huma
